School Abbreviation,School Name,School Country,School State,School City 
,Saint Vincent de Paul Regional Seminary,USA,FL,
,Saint Vincent's College,USA,CT,
,Saint Xavier University,USA,IL,
,Salem College,USA,NC,
,Salem International University,USA,WV,
,Salem State College,USA,MA,
,Salisbury University,USA,MD,
,Salish Kootenai College,USA,MT,
,Salus University,USA,PA,
,Salve Regina University,USA,RI,
,Sam Houston State University,USA,TX,
,Samford University,USA,AL,
,Samuel Merritt College,USA,CA,
,San Diego Christian College,USA,CA,
,San Diego State University,USA,CA,
,San Francisco Art Institute,USA,CA,
,San Francisco State University,USA,CA,
,San Jos?? State University,USA,CA,
,Santa Clara University,USA,CA,
,Santa Fe College,USA,FL,
,Santa Fe University of Art & Design,USA,NM,
,Sarah Lawrence College,USA,NY,
,Savannah College of Art & Design,USA,GA,
,Savannah State University,USA,GA,
,Saybrook University,USA,CA,
,School for International Training,USA,VT,
,School of the Art Institute of Chicago,USA,IL,
,School of Visual Arts,USA,NY,
,Schreiner University,USA,TX,
,Seabury-Western Theological Seminary,USA,IL,
,Seattle Pacific University,USA,WA,
,Seattle University,USA,WA,
,Seminario Evang??lico de Puerto Rico,USA,PR,
,Seminary of the Southwest,USA,TX,
,Seminole State College of Florida,USA,FL,
,Seton Hall University,USA,NJ,
,Seton Hill College,USA,PA,
,Shaw University,USA,NC,
,Shawnee State University,USA,OH,
,Shenandoah University,USA,VA,
,Shepherd University,USA,WV,
,Sherman College of Chiropractic,USA,SC,
,Shimer College,USA,IL,
,Shippensburg University of Pennsylvania,USA,PA,
,Shorter College,USA,GA,
,Siegal College of Judaic Studies,USA,OH,
,Siena College,USA,NY,
,Siena Heights University,USA,MI,
,Sierra Nevada College,USA,NV,
,Silver Lake College,USA,WI,
,Simmons College,USA,MA,
,Simon's Rock College,USA,MA,
,Sinte Gleska University,USA,SD,
,Simpson University,USA,CA,
,Simpson College,USA,IA,
,Sioux Falls Seminary,USA,SD,
,Sistema Universitario Ana G. M??ndez,USA,PR,
,Sistema Universitario Ana G. M??ndez Universidad del Este,USA,PR,
,Sistema Universitario Ana G. M??ndez Universidad Metropolitana,USA,PR,
,Sistema Universitario Ana G. M??ndez Universidad del Turabo,USA,PR,
,Skidmore College,USA,NY,
,Slippery Rock University of Pennsylvania,USA,PA,
,Smith College,USA,MA,
,Soka University of America,USA,CA,
,Sonoma State University,USA,CA,
,Soujourner-Douglass College,USA,MD,
,South Carolina State University,USA,SC,
,South College,USA,TN,
,South Dakota School of Mines & Technology,USA,SD,
,South Dakota State University,USA,SD,
,South Florida Bible College & Theological Seminary,USA,FL,
,South Texas College of Law,USA,TX,
,South University,USA,GA,
,Southeast Missouri State University,USA,MO,
,Southeastern Baptist Theological Seminary,USA,NC,
,Southeastern Bible College,USA,AL,
,Southeastern University,USA,FL,
,Southeastern Louisiana University,USA,LA,
,Southeastern Oklahoma State University,USA,OK,
,Southern Arkansas University,USA,AR,
,Southern Baptist Theological Seminary,USA,KY,
,Southern California College of Optometry,USA,CA,
,Southern California Institute of Architecture,USA,CA,
,Southern California University of Health Sciences,USA,CA,
,Southern College,USA,TN,
,Southern College of Optometry,USA,TN,
,Southern Connecticut State University,USA,CT,
,Southern Illinois Universityƒ??Carbondale,USA,IL,
,Southern Illinois Universityƒ??Edwardsville,USA,IL,
,Southern Illinois University System,USA,IL,
,Southern Methodist University,USA,TX,
,Southern Nazarene University,USA,OK,
,Southern New Hampshire University,USA,NH,
,Southern Oregon University,USA,OR,
,Southern Polytechnic State University,USA,GA,
,Southern University and A&M College at Baton Rouge,USA,LA,
,Southern University at New Orleans,USA,LA,
,Southern University at Shreveport,USA,LA,
,Southern University System,USA,LA,
,Southern Utah University,USA,UT,
,Southern Vermont College,USA,VT,
,Southern Adventist University,USA,TN,
,Southern Wesleyan University,USA,SC,
,Southwest Baptist University,USA,MO,
,Southwest College of Naturopathic Medicine & Health Sciences,USA,AZ,
,Southwest Minnesota State University,USA,MN,
,Southwestern Adventist University,USA,TX,
,Southwestern Assemblies of God University,USA,TX,
,Southwestern Baptist Theological Seminary,USA,TX,
,Southwestern Christian College,USA,TX,
,Southwestern Christian University,USA,OK,
,Southwestern College,USA,AZ,
,Southwestern College,USA,KS,
,Southwestern College,USA,NM,
,Southwestern Oklahoma State University,USA,OK,
,Southwestern University,USA,TX,
,Southwestern University School of Law,USA,CA,
,Spalding University,USA,KY,
,Spelman College,USA,GA,
,Spertus Institute of Jewish Studies,USA,IL,
,Spring Arbor University,USA,MI,
,Spring Hill College,USA,AL,
,Springfield College,USA,MA,
Stanford U.,Stanford University,USA,CA,Stanford
,State College of Florida Manatee-Sarasota,USA,FL
,State University of New York System,USA,NY,
,State University of New York System Albany,USA,NY,
,State University of New York System Binghamton,USA,NY,
,State University of New York System Buffalo,USA,NY,
,State University of New York System Stony Brook,USA,NY,
,State University of New York System College at Brockport,USA,NY,
,State University of New York System College at Buffalo,USA,NY,
,State University of New York System College at Cortland,USA,NY,
,State University of New York System College at Fredonia,USA,NY,
,State University of New York System College at Geneseo,USA,NY,
,State University of New York System College at New Paltz,USA,NY,
,State University of New York System College at Old Westbury,USA,NY,
,State University of New York System College at Oneonta,USA,NY,
,State University of New York System College at Oswego,USA,NY,
,State University of New York System College at Plattsburgh,USA,NY,
,State University of New York System College at Potsdam,USA,NY,
,State University of New York System College at Purchase,USA,NY,
,State University of New York System College of Agriculture & Technology at Cobleskill,USA,NY,
,State University of New York System College of Agriculture & Technology at Morrisville,USA,NY,
,State University of New York System College of Environmental Science & Forestry,USA,NY,
,State University of New York System College of Optometry,USA,NY,
,State University of New York System College of Technology at Alfred,USA,NY,
,State University of New York System College of Technology at Canton,USA,NY,
,State University of New York System College of Technology at Delhi,USA,NY,
,State University of New York System Downstate Medical Center,USA,NY,
,State University of New York System Empire State College,USA,NY,
,State University of New York System Farmingdale State College,USA,NY,
,State University of New York System Fashion Institute of Technology,USA,NY,
,State University of New York System Institute of Technology at Utica/Rome,USA,NY,
,State University of New York System Maritime College at Fort Schuyler,USA,NY,
,State University of New York System Upstate Medical University,USA,NY,
,Stephen F. Austin State University,USA,TX,
,Stephens College,USA,MO,
,Sterling College,USA,KS,
,Sterling College,USA,VT,
,Stetson University,USA,FL,
,Stevens Institute of Technology,USA,NJ,
,Stevenson University,USA,MD,
,Stillman College,USA,AL,
,Stonehill College,USA,MA,
,Strayer University,USA,DC,
,Suffolk University,USA,MA,
,Sul Ross State University,USA,TX,
,Sullivan University,USA,KY,
,Susquehanna University,USA,PA,
,Swarthmore College,USA,PA,
,Sweet Briar College,USA,VA,
,Syracuse University,USA,NY,
,University of the Pacific,USA,CA,
,University of Pennsylvania,USA,PA,
,University of Phoenix,USA,AZ,
,University of Pittsburgh,USA,PA,
,University of Pittsburghƒ??Bradford,USA,PA,
,University of Pittsburghƒ??Greensburg,USA,PA,
,University of Pittsburghƒ??Johnstown,USA,PA,
,University of Portland,USA,OR,
,University of Puerto Ricoƒ??Aguadilla,USA,PR,
,University of Puerto Ricoƒ??Arecibo,USA,PR,
,University of Puerto Ricoƒ??Bayam??n,USA,PR,
,University of Puerto Ricoƒ??Carolina,USA,PR,
,University of Puerto Ricoƒ??Cayey,USA,PR,
,University of Puerto Ricoƒ??Ciencias M??dicas,USA,PR,
,University of Puerto Ricoƒ??Humacao,USA,PR,
U. Puerto Rico; Mayaguez,University of Puerto Rico Mayaguez,USA,PR,Mayaguez
,University of Puerto Ricoƒ??Ponce,USA,PR,
,University of Puerto Ricoƒ??R??o Piedras,USA,PR,
,University of Puerto Rico System,USA,PR,
,University of Puerto Ricoƒ??Utuado,USA,PR,
,University of Puget Sound,USA,WA,
,University of Redlands,USA,CA,
,University of Rhode Island,USA,RI,
,University of Richmond,USA,VA,
,University of Rio Grande,USA,OH,
,University of Rochester,USA,NY,
,University of the Rockies,USA,CO,
,University of Saint Francis,USA,IL,
,University of Saint Francis,USA,IN,
,University of Saint Mary,USA,KS,
,University of San Diego,USA,CA,
,University of San Francisco,USA,CA,
,University of Science & Arts of Oklahoma,USA,OK,
,University of the Sciences in Philadelphia,USA,PA,
,University of Scranton,USA,PA,
,University of Sioux Falls,USA,SD,
USC,University of Southern California,USA,CA,Los Angeles
,University of Southern Maine,USA,ME,
,University of Southern Nevada,USA,NV,
,University of South Carolina,USA,SC,
,University of South Carolinaƒ??Aiken,USA,SC,
,University of South Carolinaƒ??Beaufort,USA,SC,
,University of South Carolina System,USA,SC,
,University of South Carolinaƒ??Upstate,USA,SC,
,University of South Dakota,USA,SD,
,University of South Florida,USA,FL,
,University of South Floridaƒ??Saint Petersburg,USA,FL,
,University of Southern Mississippi,USA,MS,
,University of Saint Thomas,USA,TX,
,University of Saint Thomas,USA,MN,
,University of South Alabama,USA,AL,
,University of Southern Indiana,USA,IN,
,University of Tampa,USA,FL,
,University of Tennessee,USA,TN,
,University of Tennesseeƒ??Chattanooga,USA,TN,
,University of Tennessee Health Science Center,USA,TN,
,University of Tennesseeƒ??Martin,USA,TN,
,University of Tennessee System,USA,TN,
,University of Texasƒ??Arlington,USA,TX,
,University of Texasƒ??Austin,USA,TX,
,University of Texasƒ??Brownsville,USA,TX,
,University of Texasƒ??Dallas,USA,TX,
,University of Texasƒ??El Paso,USA,TX,
,University of Texas Health Science Center at Houston,USA,TX,
,University of Texas Health Science Center at San Antonio,USA,TX,
,University of Texas Health Science Center at Tyler,USA,TX,
,University of Texas M.D. Anderson Cancer Center,USA,TX,
,University of Texas Medical Branch at Galveston,USA,TX,
,University of Texasƒ??Pan American,USA,TX,
,University of Texas of the Permian Basin,USA,TX,
,University of Texasƒ??San Antonio,USA,TX,
,University of Texas Southwestern Medical Center at Dallas,USA,TX,
,University of Texas System,USA,TX,
,University of Texasƒ??Tyler,USA,TX,
,University of the Arts,USA,PA,
,University of the Cumberlands,USA,KY,
,University of the Incarnate Word,USA,TX,
,University of the South,USA,TN,
,University of the Southwest,USA,NM,
,University of Toledo,USA,OH,
,University of Toledo Health Science Campus,USA,OH,
,University of Tulsa,USA,OK,
,University of Utah,USA,UT,
,University of Vermont,USA,VT,
,University of the Virgin Islands,USA,VI,
,University of Virginia,USA,VA,
,University of Virginia's College at Wise,USA,VA,
U. of Washington,University of Washington,USA,WA,Seattle
,University of Washingtonƒ??Bothell,USA,WA,
,University of Washingtonƒ??Tacoma,USA,WA,
,University of West Alabama,USA,AL,
,University of West Florida,USA,FL,
,University of West Georgia,USA,GA,
,University of the West,USA,CA,
,University of Wisconsinƒ??Eau Claire,USA,WI,
,University of Wisconsinƒ??Green Bay,USA,WI,
,University of Wisconsinƒ??LaCrosse,USA,WI,
,University of Wisconsinƒ??Madison,USA,WI,
,University of Wisconsinƒ??Milwaukee,USA,WI,
,University of Wisconsinƒ??Oshkosh,USA,WI,
,University of Wisconsinƒ??Parkside,USA,WI,
,University of Wisconsinƒ??Platteville,USA,WI,
,University of Wisconsinƒ??River Falls,USA,WI,
,University of Wisconsinƒ??Stevens Point,USA,WI,
,University of Wisconsinƒ??Stout,USA,WI,
,University of Wisconsinƒ??Superior,USA,WI,
,University of Wisconsin System,USA,WI,
,University of Wisconsinƒ??Whitewater,USA,WI,
,University of Wyoming,USA,WY,
,Xavier University,USA,OH,
,Xavier University of Louisiana,USA,LA,
,Yale University,USA,CT,
,Yeshiva University,USA,NY,
,York College,USA,NE,
,York College of Pennsylvania,USA,PA,
,Young Harris College,USA,GA,
,Youngstown State University,USA,OH,
,Babson College,USA,MA,
,Bacone College,USA,OK,
,Baldwin-Wallace College,USA,OH,
,Ball State University,USA,IN,
,Baltimore International College,USA,MD,
,Baker College,USA,MI,
,Baker University,USA,KS,
,Bank Street College of Education,USA,NY,
,Baptist Bible College,USA,MO,
,Baptist Bible College,USA,PA,
,The Baptist College of Florida,USA,FL,
,Baptist Memorial College of Health Sciences,USA,TN,
,Baptist Missionary Association Theological Seminary,USA,TX,
,Bard College,USA,NY,
,Barnard College,USA,NY,
,Barry University,USA,FL,
,Barton College,USA,NC,
,Bastyr University,USA,WA,
,Bates College,USA,ME,
,Bauder College,USA,GA,
,Bay Path College,USA,MA,
,Baylor College of Medicine,USA,TX,
,Baylor University,USA,TX,
,Beacon College,USA,FL,
,Becker College,USA,MA,
,Belhaven College,USA,MS,
,Bellarmine University,USA,KY,
,Bellevue University,USA,NE,
,Belmont University,USA,TN,
,Belmont Abbey College,USA,NC,
,Beloit College,USA,WI,
,Bemidji State University,USA,MN,
,Benedict College,USA,SC,
,Benedictine College,USA,KS,
,Benedictine University,USA,IL,
,Benjamin Franklin Institute of Technology,USA,MA,
,Bennett College,USA,NC,
,Bennington College,USA,VT,
,Bentley College,USA,MA,
,Berea College,USA,KY,
,Berkeley College,USA,NJ,
,Berklee College of Music,USA,MA,
,Berry College,USA,GA,
,Bethany University,USA,CA,
,Bethany College,USA,KS,
,Bethany College,USA,WV,
,Bethany Lutheran College,USA,MN,
,Bethany Theological Seminary,USA,IN,
,Bethel College,USA,IN,
,Bethel College,USA,KS,
,Bethel University & Seminary,USA,MN,
,Bethel University,USA,TN,
,Bethesda Christian University,USA,CA,
,Bethune-Cookman University,USA,FL,
,Biblical Theological Seminary,USA,PA,
,Biola University,USA,CA,
,Birmingham-Southern College,USA,AL,
,Black Hills State University,USA,SD,
,Blackburn College,USA,IL,
,Blessing-Rieman College of Nursing,USA,IL,
,Bloomfield College,USA,NJ,
,Bloomsburg University of Pennsylvania,USA,PA,
,Blue Mountain College,USA,MS,
,Bluefield College,USA,VA,
,Bluefield State College,USA,WV,
,Bluffton University,USA,OH,
,Boise State University,USA,ID,
,Boricua College,USA,NY,
,Boston Architectural College,USA,MA,
,Boston College,USA,MA,
,Boston Conservatory,USA,MA,
,Boston Graduate School of Psychoanalysis,USA,MA,
,Boston University,USA,MA,
,Bowdoin College,USA,ME,
,Bowie State University,USA,MD,
,Bowling Green State University,USA,OH,
,Bradley University,USA,IL,
,Brandeis University,USA,MA,
,Brandman University,USA,CA,
,Brenau University,USA,GA,
,Brescia University,USA,KY,
,Brevard College,USA,NC,
,Brewton-Parker College,USA,GA,
,Briar Cliff University,USA,IA,
,Briarcliffe College,USA,NY,
,Bridgewater College,USA,VA,
,Bridgewater State College,USA,MA,
,Brigham Young University,USA,UT,
,Brigham Young Universityƒ??Hawaii,USA,HI,
,Brigham Young Universityƒ??Idaho,USA,ID,
,Broward College,USA,FL,
,Brown University,USA,RI,
,Bryan College,USA,TN,
,Bryant College,USA,RI,
,Bryn Athyn College of the New Church,USA,PA,
,Bryn Mawr College,USA,PA,
,Bucknell University,USA,PA,
,Buena Vista University,USA,IA,
,Burlington College,USA,VT,
,Butler University,USA,IN,
,Cabarrus College of Health Sciences,USA,NC,
,Cabrini College,USA,PA,
,Caldwell College,USA,NJ,
,California Baptist University,USA,CA,
,California College of the Arts,USA,CA,
,California Institute of the Arts,USA,CA,
,California Institute of Integral Studies,USA,CA,
Ca. Inst. of Tech.,California Institute of Technology,USA,CA,Pasadena
,California Lutheran University,USA,CA,
,California Maritime Academy,USA,CA,
,California Pacific University,USA,CA,
Calif Polytechnic State U.,California Polytechnic State University San Luis Obispo,USA,CA,San Luis Obispo
,California State Polytechnic University Pomona,USA,CA
,California State Universityƒ??Bakersfield,USA,CA,
,California State Universityƒ??Channel Islands,USA,CA,
,California State Universityƒ??Chico,USA,CA,
,California State Universityƒ??Dominguez Hills,USA,CA,
,California State Universityƒ??East Bay,USA,CA,
,California State Universityƒ??Fresno,USA,CA,
,California State Universityƒ??Fullerton,USA,CA,
,California State Universityƒ??Long Beach,USA,CA,
,California State Universityƒ??Los Angeles,USA,CA,
,California State Universityƒ??Monterey Bay,USA,CA,
,California State Universityƒ??Northridge,USA,CA,
,California State Universityƒ??Sacramento,USA,CA,
,California State Universityƒ??San Bernardino,USA,CA,
San Jose State U.,California State Universityƒ??San Jose,USA,CA,San Jose
,California State Universityƒ??San Marcos,USA,CA,
,California State Universityƒ??Stanislaus,USA,CA,
,California State University System,USA,CA,
,California University of Pennsylvania,USA,PA,
,Calumet College of Saint Joseph,USA,IN,
,Calvary Bible College & Theological Seminary,USA,MO,
,Calvin College,USA,MI,
,Cambridge College,USA,MA,
,Cameron University,USA,OK,
,Campbell University,USA,NC,
,Campbellsville University,USA,KY,
,Canisius College,USA,NY,
,Capella University,USA,MN,
,Capital University,USA,OH,
,Capitol College,USA,MD,
,Cardinal Stritch University,USA,WI,
,Caribbean University,USA,PR,
,Carleton College,USA,MN,
,Carlos Albizu University,USA,PR,
,Carlos Albizu Universityƒ??Miami Campus,USA,FL,
,Carlow College,USA,PA,
CMU,Carnegie Mellon University,USA,PA,Pittsburgh
,Carroll College,USA,MT,
,Carroll University,USA,WI,
,Carson-Newman College,USA,TN,
,Carthage College,USA,WI,
,Case Western Reserve University,USA,OH,
,Castleton State College,USA,VT,
,Catawba College,USA,NC,
,Catholic Theological Union,USA,IL,
,The Catholic University of America,USA,DC,
,Cazenovia College,USA,NY,
,Cedar Crest College,USA,PA,
,Cedarville University,USA,OH,
,Centenary College,USA,NJ,
,Centenary College of Louisiana,USA,LA,
,Central Baptist College,USA,AR,
,Central Baptist Theological Seminary,USA,KS,
,Central Bible College,USA,MO,
,Central Christian College of Kansas,USA,KS,
,Central Christian College of the Bible,USA,MO,
,Central College,USA,IA,
,Central Connecticut State University,USA,CT,
,Central Methodist University,USA,MO,
,Central Michigan University,USA,MI,
,Central Pennsylvania College,USA,PA,
,Central State University,USA,OH,
,Central Washington University,USA,WA,
,Centre College,USA,KY,
,Centro de Estudios Avanzados de Puerto Rico y el Caribe,USA,PR,
,Chadron State College,USA,NE,
,Chamberlain College of Nursing,USA,MO,
,Chaminade University,USA,HI,
,Champlain College,USA,VT,
,Chancellor University,USA,OH,
,Chapman University,USA,CA,
,Charles R. Drew University of Medicine & Science,USA,CA,
,Charleston Southern University,USA,SC,
,Charter Oak State College,USA,CT,
,Chatham College,USA,PA,
,Chester College of New England,USA,NH,
,Chestnut Hill College,USA,PA,
,Cheyney University,USA,PA,
,The Chicago School of Professional Psychology,USA,IL,
,Chicago State University,USA,IL,
,Chicago Theological Seminary,USA,IL,
,Chipola College,USA,FL,
,Chowan College,USA,NC,
,Christ the King Seminary,USA,NY,
,Christendom College,USA,VA,
Christian Brothers U.,Christian Brothers University,USA,TN,Memphis
,Christian Theological Seminary,USA,IN,
,Christopher Newport University,USA,VA,
,Church Divinity School of the Pacific,USA,CA,
,Cincinnati Christian University,USA,OH,
,The Citadel,USA,SC,
,City University of Seattle,USA,WA,
,City University of New York,USA,NY,
,City University of New York Baruch College,USA,NY,
,City University of New York Brooklyn College,USA,NY,
,City University of New York City College,USA,NY,
,City University of New York College of Staten Island,USA,NY,
,City University of New York Graduate School & University Center,USA,NY,
,City University of New York Hunter College,USA,NY,
,City University of New York John Jay College of Criminal Justice,USA,NY,
,City University of New York Lehman College,USA,NY,
,City University of New York Medgar Evers College,USA,NY,
,City University of New York New York City College of Technology,USA,NY,
,City University of New York Queens College,USA,NY,
,City University of New York York College,USA,NY,
,Claflin University,USA,SC,
,Claremont Consortium of Colleges,USA,CA,
,Claremont Consortium of Colleges Claremont Graduate University,USA,CA,
,Claremont Consortium of Colleges Claremont McKenna College,USA,CA,
,Claremont Consortium of Colleges Harvey Mudd College,USA,CA,
,Claremont Consortium of Colleges Keck Graduate Institute of Applied Life Sciences,USA,CA,
,Claremont Consortium of Colleges Pitzer College,USA,CA,
,Claremont Consortium of Colleges Pomona College,USA,CA,
,Claremont Consortium of Colleges Scripps College,USA,CA,
,Clarion University of Pennsylvania,USA,PA,
,Clark University,USA,MA,
,Clark Atlanta University,USA,GA,
,Clarke University,USA,IA,
,Clarkson College,USA,NE,
,Clarkson University,USA,NY,
,Clayton State University,USA,GA,
,Clear Creek Baptist Bible College,USA,KY,
,Clearwater Christian College,USA,FL,
,Cleary University,USA,MI,
,Clemson University,USA,SC,
,Cleveland Chiropractic College,USA,KS,
,Cleveland Institute of Art,USA,OH,
,Cleveland Institute of Music,USA,OH,
,Cleveland State University,USA,OH,
,Coastal Carolina University,USA,SC,
,Coe College,USA,IA,
,Cogswell Polytechnical College,USA,CA,
,Coker College,USA,SC,
,Colby College,USA,ME,
,Colby-Sawyer College,USA,NH,
,Colgate University,USA,NY,
,College for Creative Studies,USA,MI,
,College for Financial Planning,USA,CO,
,College Misericordia,USA,PA,
,College of the Atlantic,USA,ME,
,College of Central Florida,USA,FL,
,College of Charleston,USA,SC,
,College of Coastal Georgia,USA,GA,
,College of the Holy Cross,USA,MA,
,The College of Idaho,USA,ID,
,College of Mount Saint Joseph,USA,OH,
,College of Mount Saint Vincent,USA,NY,
,The College of New Jersey,USA,NJ,
,College of New Rochelle,USA,NY,
,College of Notre Dame of Maryland,USA,MD,
,College of the Ozarks,USA,MO,
,College of Saint Benedict,USA,MN,
,College of Saint Catherine,USA,MN,
,College of Saint Elizabeth,USA,NJ,
,College of Saint Rose,USA,NY,
,College of Saint Joseph,USA,VT,
,College of Saint Mary,USA,NE,
,College of Saint Scholastica,USA,MN,
,College of Saint Thomas More,USA,TX,
,College of Visual Arts,USA,MN,
,College of William and Mary,USA,VA,
,The College of Wooster,USA,OH,
,Colorado Christian University,USA,CO,
,Colorado College,USA,CO,
,Colorado School of Mines,USA,CO,
,Colorado State University,USA,CO,
,Colorado State Universityƒ??Pueblo,USA,CO,
,Colorado Technical University,USA,CO,
,Columbia College Chicago,USA,IL,
,Columbia College,USA,MO,
,Columbia College,USA,SC,
,Columbia International University,USA,SC,
,Columbia Theological Seminary,USA,GA,
Columbia U.,Columbia University,USA,NY,New York
,Columbus College of Art & Design,USA,OH,
,Columbus State University,USA,GA,
,Conception Seminary College,USA,MO,
,Concord University,USA,WV,
,Concordia Collegeƒ??Ann Arbor,USA,MI,
,Concordia Collegeƒ??Bronxville,USA,NY,
,Concordia Collegeƒ??Moorhead,USA,MN,
,Concordia Collegeƒ??New York,USA,NY,
,Concordia Collegeƒ??Selma,USA,AL,
,Concordia Seminaryƒ??Saint Louis,USA,MO,
,Concordia Theological Seminary,USA,IN,
,Concordia Universityƒ??Chicago,USA,IL,
,Concordia Universityƒ??Irvine,USA,CA,
,Concordia Universityƒ??Nebraska,USA,NE,
,Concordia Universityƒ??Portland,USA,OR,
,Concordia Universityƒ??Saint Paul,USA,MN,
,Concordia Universityƒ??Texas,USA,TX,
,Concordia Universityƒ??Wisconsin,USA,WI,
,Connecticut College,USA,CT,
,Conservatorio de M?§sica de Puerto Rico,USA,PR,
,Converse College,USA,SC,
,The Cooper Union for the Advancement of Science & Art,USA,NY,
,Coppin State University,USA,MD,
,Corban College,USA,OR,
,Corcoran College of Art & Design,USA,DC,
,Cornell College,USA,IA,
Cornell U.,Cornell University,USA,NY,Ithaca
,Cornerstone University,USA,MI,
,Cornish College of the Arts,USA,WA,
,Covenant College,USA,GA,
,Covenant Theological Seminary,USA,MO,
,Cox College of Nursing & Health Sciences,USA,MO,
,Cranbrook Academy of Art,USA,MI,
,Creighton University,USA,NE,
,Crichton College,USA,TN,
,Criswell College,USA,TX,
,Crossroads College,USA,MN,
,Crowley's Ridge College,USA,AR,
,Crown College,USA,MN,
,Culinary Institute of America,USA,NY,
,Culver-Stockton College,USA,MO,
,Cumberland University,USA,TN,
,Curry College,USA,MA,
,Curtis Institute of Music,USA,PA,
,Hamilton College,USA,NY,
,Hamline University,USA,MN,
,Hampden-Sydney College,USA,VA,
,Hampshire College,USA,MA,
,Hampton University,USA,VA,
,Hannibal-Lagrange College,USA,MO,
,Hanover College,USA,IN,
,Hardin-Simmons University,USA,TX,
,Harding University,USA,AR,
,Harris-Stowe State University,USA,MO,
,Hartford Seminary,USA,CT,
,Hartwick College,USA,NY,
,Harvard University,USA,MA,
,Haskell Indian Nations University,USA,KS,
,Hastings College,USA,NE,
Haverford Col.,Haverford College in Pennsylvania,USA,PA,Haverford
,Hawaii Pacific University,USA,HI,
,Hazelden Graduate School of Addiction Studies,USA,MN,
,Hebrew College,USA,MA,
,Hebrew Theological College,USA,IL,
,Hebrew Union Collegeƒ??Jewish Institute of Religion,USA,NY,
,Heidelberg College,USA,OH,
,Henderson State University,USA,AR,
,Hendrix College,USA,AR,
,Heritage University,USA,WA,
,Herzing College,USA,WI,
,High Point University,USA,NC,
,Hilbert College,USA,NY,
,Hillsdale College,USA,MI,
,Hiram College,USA,OH,
,Hobart and William Smith Colleges,USA,NY,
,Hobe Sound Bible College,USA,FL,
,Hodges University,USA,FL,
,Hofstra University,USA,NY,
,Hollins University,USA,VA,
,Holy Apostles College & Seminary,USA,CT,
,Holy Cross College,USA,IN,
,Holy Family University,USA,PA,
,Holy Names University,USA,CA,
,Hood College,USA,MD,
,Hope College,USA,MI,
,Hope International University,USA,CA,
,Houghton College,USA,NY,
,Houston Baptist University,USA,TX,
,Howard Payne University,USA,TX,
,Howard University,USA,DC,
,Hult International Business School,USA,MA,
,Humboldt State University,USA,CA,
,Humphreys College,USA,CA,
,Huntingdon College,USA,AL,
,Huntington University,USA,IN,
